Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Daily_Return,Return_5D,Price_Change,SMA_20,SMA_50,EMA_20,Volatility_20,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,RSI_14,MACD,MACD_Signal,MACD_Histogram,Volume_Change,Target
2024-10-23,228.8456573486328,230.75999450683597,235.13999938964844,227.75999450683597,234.0800018310547,52287000,AAPL,-0.021623022514703494,-0.004400743281702035,-3.3200073242187216,229.72699966430665,226.49079986572266,230.26510331715505,0.014037157169578868,229.72699966430665,237.57504163640883,221.87895769220447,57.298533195638164,2.4135230104906213,2.0308008713550185,0.3827221391356028,0.3459865213429232,-0.0008233107433688325
2024-10-23,152.91000366210938,152.91000366210938,153.4499969482422,150.52000427246094,153.0,26095900,AMD,-0.007657814938185514,-0.020623846281949354,-0.089996337890625,162.5610008239746,154.62920043945311,158.99186238552153,0.024035204413178336,162.5610008239746,175.1000589175062,150.02194273044302,37.98355178693175,0.011338239876266698,2.0409018955017424,-2.0295636556254757,-0.25434746581174605,0.003466083098578876
2024-10-23,184.7100067138672,184.7100067138672,189.16000366210935,183.69000244140625,188.8500061035156,31937100,AMZN,-0.026304640562205495,-0.011664576397349968,-4.139999389648409,186.50500106811523,182.9426007080078,186.65380296611696,0.013564998259548915,186.50500106811523,191.8031255594183,181.20687657681216,54.85694142909809,1.193993999727212,1.4584419794892354,-0.2644479797620234,0.07711479700242152,0.009041189476714617
2024-10-23,161.74880981445312,162.77999877929688,165.82000732421875,161.92999267578125,164.75999450683594,18280500,GOOGL,-0.014290908435715344,-0.014410298074839067,-1.9799957275390625,164.3380012512207,161.811201171875,163.50095729636348,0.010069828419558752,164.3380012512207,167.47277783547977,161.20322466696163,42.261317359943384,0.6908344661797798,0.9304817558354628,-0.23964728965568294,0.1033552429065494,-0.000368580655139894
2024-10-23,560.4654541015625,563.6900024414062,585.0,562.5,579.969970703125,14248400,META,-0.031477134442406296,-0.02271186408394299,-16.27996826171875,580.2665008544922,549.6355981445313,574.1284403383711,0.013037120989951911,580.2665008544922,598.4814553363551,562.0515463726292,39.25674565725869,6.833684836856264,10.690005223154094,-3.8563203862978295,0.6675522265785008,0.007255808756150284
2024-10-23,418.7838134765625,424.6000061035156,431.0799865722656,422.5299987792969,430.8599853515625,19654400,MSFT,-0.006806866729751504,0.02037876354377066,-6.259979248046875,419.6845001220703,420.32160034179685,420.44490594245383,0.009453927558104258,419.6845001220703,431.0891427808421,408.27985746329847,60.84498135768605,-0.08215330762914164,-0.8563321462402665,0.7741788386111249,-0.22870081861063807,0.0003061820088170464
2024-10-23,139.34226989746094,139.55999755859375,142.42999267578125,137.4600067138672,142.02999877929688,285930000,NVDA,-0.028066013525159694,0.028293518297617393,-2.470001220703125,131.0275001525879,123.52960021972656,132.58003946142998,0.024566431707880615,131.0275001525879,147.41179697777963,114.64320332739615,71.7295064548216,5.722635655495651,4.829482279986138,0.8931533755095131,0.2634350161458803,0.006090614204537825
2024-10-23,213.6499938964844,213.6499938964844,218.72000122070312,212.1100006103516,217.1300048828125,80938900,TSLA,-0.019819274670942244,-0.03469935332324525,-3.4800109863280966,235.45800094604493,228.28640075683595,228.0614539930594,0.026589600001828813,235.45800094604493,268.75255686273255,202.16344502935732,27.585054136410832,-4.779765991058468,-1.5112758986096533,-3.268490092448815,0.8706108572709603,0.21919035070290405
2024-10-24,228.65725708007807,230.57000732421875,230.82000732421875,228.41000366210935,229.97999572753903,31109500,AAPL,-0.0008233107433688325,-0.006805886770646086,0.5900115966797159,229.87949981689454,226.66779998779296,230.29414179401826,0.014010099263248785,229.87949981689454,237.6652571319799,222.09374250180917,55.555565549202115,2.1360132043954536,2.0518433379631054,0.08416986643234825,-0.4050241933941515,0.0036431292501519774
2024-10-24,153.44000244140625,153.44000244140625,155.19000244140625,152.35000610351562,154.74000549316406,22877000,AMD,0.003466083098578876,-0.01798398437500004,-1.3000030517578125,161.8585006713867,154.88300048828125,158.46311381941533,0.02252954700831509,161.8585006713867,174.8025933299156,148.91440801285782,24.20213749324762,-0.3920969899738225,1.5543021184066295,-1.946399108380452,-0.12334887855946719,0.018182959083295147
